id	input_text	regex
1	I want a regex representing start with 'li' and end with 'e'	li*e
2	find all whose family name is Saint	^Saint$
3	any four-digit number	\d{4}
4	to match any hex color code	#[a-fA-F0-9]{6}
5	regex to match any IP address within the range 192.168.1.0 to 192.168.1.255	192\.168\.1\.\d{1,3}
6	regex to match any word or phrase in the list (bear, starbucks, laundry, kitchen)	(?i)(\W|^)(bear|starbucks|laundry|kitchen)(\W|$)
7	regex to match time in a format of hour:minute	\d{2}:\d{2}'
8	find all whose last name is Kim	Kim$'
9	regex to match an age between 10 and 24	1[0-9]|2[0-4]
10	I want to match all words that contains 'cracy'	\b\w*cracy\w*\b
